d_codigo,d_asenta,c_mnpio
22110,Los Álamos,4
22114,Chihuahua La Mesa,4
22114,Fortín de las Flores,4
22114,Santa Elena,4
22114,Yamille,4
22114,San Antonio,4
22114,Fortín de las Flores Oeste,4
22114,INFONAVIT La Mesa,4
22114,La Ciénega Poniente,4
22114,San Antonio Oeste,4
22114,Vaim,4
22114,Río Tijuana 2a. Etapa,4
22115,Moreno 2da. Sección,4
22115,Las Brisas,4
22115,Benton,4
22115,Las Vegas,4
22115,Ramírez,4
22115,Castro,4
22115,Las Huertas 3a Sección,4
22115,La Joya,4
22115,Gas y Anexas,4
22115,La Joya Este,4
22115,Las Brisas Norte,4
22116,Jalisco,4
22116,Balcón Las Huertas,4
22116,Huertas 1a. Sección,4
22116,Huertas 2a. Sección,4
22116,Ramos,4
22116,Maurilio Magallón,4
22116,Plan de Iguala,4
22116,Cañón el Salado,4
22116,Rubio,4
22116,Urías,4
22116,El Valle,4
22116,Lomas Conjunto Residencial,4
22116,Pinos del Agüero,4
22116,Ramos Sur,4
22117,Anexa Durango,4
22117,Chapultepec California,4
22117,Durango,4
22117,La Esmeralda,4
22117,Las Fuentes,4
22117,Las Huertas 4a Sección,4
22117,Los Árboles,4
22117,Santa Fe,4
22117,Veracruz,4
22117,Anexa Veracruz,4
22117,La Villa,4
22117,Emperadores,4
22117,Guanajuato,4
22117,Anexa Santa Fe,4
22120,Arboledas de La Mesa,4
22120,Constitución del 17,4
22120,18 de Marzo,4
22120,La Ciénega,4
22120,Zermeño (Mérida),4
22120,Niños Héroes (La Mesa),4
22120,Arboledas,4
22120,La Ciénega Sur,4
22120,Niños Héroes Este,4
22120,Vivienda Magisterial 37,4
22120,División del Norte,4
22123,Los Venados,4
22123,Los Venados Oeste,4
22123,Jardines de Las Arboledas,4
22123,El Olivar,4
22123,Villa de Alcázar,4
22124,Tona,4
22124,Presa Rodriguez,4
22124,Terrazas de La Presa,4
22125,Los Reyes,4
22125,Los Naranjos,4
22126,Cañón Palmas,4
22126,Colinas de La Mesa,4
22126,México Lindo,4
22126,3 de Octubre,4
22126,El Ranchito,4
22126,Villa Urrutia,4
22127,Castro Green,4
22127,Las Huertas 5a Sección,4
22127,Luna Park,4
22127,Orizaba,4
22127,Baja California,4
22127,Pinos de Narez,4
22127,Villa Floresta,4
22127,Colinas de La Cruz,4
22127,INFONAVIT Lomas Verdes,4
22127,Loma Dorada Campos,4
22127,Martínez,4
22127,Anexa Loma Dorada,4
22160,Generación 2000,4
22160,Granjas Buenos Aires Sección La Palma,4
22163,La Ilusión,4
22170,Rancho Santa Cruz,4
22170,Emiliano Zapata,4
22170,San Luis,4
22170,Cañón del Sainz,4
22170,Colinas San Rafael,4
22180,Lomas de La Amistad,4
22180,Ampliación Reforma,4
22180,INFONAVIT Cachanillas,4
22180,Parque Industrial La Mesa,4
22183,Reforma,4
22183,Amparo Sánchez,4
22183,Sanchez Taboada II,4
22183,Cañón Centenario,4
22183,División del Norte,4
22183,María Medina,4
22185,Ampliación Sanchez Taboada,4
22185,Sanchez Taboada Produtsa,4
22185,Niño Artillero,4
22185,Colinas de La Cantera,4
22185,El Triunfo,4
22185,Durán,4
22185,Colima,4
22185,Sanchez Taboada III,4
22185,Sanchez Taboada IV,4
22186,Anexa Sanchez Taboada,4
22186,La Esperanza,4
22186,Carmen Castillo,4
22186,Colinas de Cortés,4
22190,Camino Verde (Cañada Verde),4
22190,Felipa Velázquez,4
22190,Cuauhtémoc,4
22194,Los Olivos,4
22194,Villa Colonial,4
22194,Santa Cecilia,4
22194,Jardines de Agua Caliente,4
22195,Camino Real,4
22195,El Mirador (La Mesa),4
22195,Hipódromo Dos,4
